Spin,Before Balance,After Balance,Bet,Total Win,Total Win Lines,Wild Used,Free Spin Count,Jackpot Amount
0,10000256462.4559,0,0,0,0,0,0,0
1,10000256462.4559,10000256482.4559,1,40,4,False,0,0
2,10000256482.4559,10000256462.4559,1,0,0,False,0,0
3,10000256462.4559,10000256442.4559,1,0,0,False,0,0
4,10000256442.4559,10000256422.4559,1,0,0,False,0,0
5,10000256422.4559,10000256532.4559,1,130,5,False,0,0
6,10000256532.4559,10000256572.4559,1,60,4,False,0,0
7,10000256572.4559,10000256552.4559,1,0,0,False,0,0
8,10000256552.4559,10000256552.4559,1,20,2,False,0,0
9,10000256552.4559,10000256562.4559,1,30,1,False,0,0
10,10000256562.4559,10000256542.4559,1,0,0,False,0,0
11,10000256542.4559,10000256772.4559,1,250,5,False,0,0
12,10000256772.4559,10000256752.4559,1,0,0,False,0,0
13,10000256752.4559,10000256732.4559,1,0,0,False,0,0
14,10000256732.4559,10000256712.4559,1,0,0,False,0,0
15,10000256712.4559,10000256692.4559,1,0,0,False,0,0
16,10000256692.4559,10000256672.4559,1,0,0,False,0,0
17,10000256672.4559,10000256652.4559,1,0,0,False,0,0
18,10000256652.4559,10000256642.4559,1,10,1,False,0,0
19,10000256642.4559,10000256622.4559,1,0,0,False,0,0
20,10000256622.4559,10000256602.4559,1,0,0,False,0,0
21,10000256602.4559,10000256642.4559,1,60,2,False,0,0
22,10000256642.4559,10000256622.4559,1,0,0,False,0,0
23,10000256622.4559,10000256602.4559,1,0,0,False,0,0
24,10000256602.4559,10000256582.4559,1,0,0,False,0,0
25,10000256582.4559,10000256642.4559,1,80,4,False,0,0
26,10000256642.4559,10000256642.4559,1,20,2,False,0,0
27,10000256642.4559,10000256622.4559,1,0,0,False,0,0
28,10000256622.4559,10000256602.4559,1,0,0,False,0,0
29,10000256602.4559,10000256582.4559,1,0,0,False,0,0
30,10000256582.4559,10000256582.4559,1,20,2,False,0,0
31,10000256582.4559,10000256562.4559,1,0,0,False,0,0
32,10000256562.4559,10000256542.4559,1,0,0,False,0,0
33,10000256542.4559,10000256602.4559,1,80,2,False,0,0
34,10000256602.4559,10000256582.4559,1,0,0,False,0,0
35,10000256582.4559,10000256582.4559,1,20,2,False,0,0
36,10000256582.4559,10000256572.4559,1,10,1,False,0,0
37,10000256572.4559,10000256552.4559,1,0,0,False,0,0
38,10000256552.4559,10000256532.4559,1,0,0,False,0,0
39,10000256532.4559,10000256512.4559,1,0,0,False,0,0
40,10000256512.4559,10000256492.4559,1,0,0,False,0,0
41,10000256492.4559,10000256472.4559,1,0,0,False,0,0
42,10000256472.4559,10000256452.4559,1,0,0,False,0,0
43,10000256452.4559,10000256432.4559,1,0,0,False,0,0
44,10000256432.4559,10000256412.4559,1,0,0,False,0,0
45,10000256412.4559,10000256392.4559,1,0,0,False,0,0
46,10000256392.4559,10000256372.4559,1,0,0,False,0,0
47,10000256372.4559,10000256352.4559,1,0,0,False,0,0
48,10000256352.4559,10000256362.4559,1,30,1,False,0,0
49,10000256362.4559,10000256342.4559,1,0,0,False,0,0
50,10000256342.4559,10000256322.4559,1,0,0,False,0,0
51,10000256322.4559,10000256302.4559,1,0,0,False,0,0
52,10000256302.4559,10000256292.4559,1,10,1,False,0,0
53,10000256292.4559,10000256272.4559,1,0,0,False,0,0
54,10000256272.4559,10000256312.4559,1,60,2,False,0,0
55,10000256312.4559,10000256322.4559,1,30,1,False,0,0
56,10000256322.4559,10000256302.4559,1,0,0,False,0,0
57,10000256302.4559,10000256282.4559,1,0,0,False,0,0
58,10000256282.4559,10000256262.4559,1,0,0,False,0,0
59,10000256262.4559,10000256257.4559,1,15,1,False,0,0
60,10000256257.4559,10000256237.4559,1,0,0,False,0,0
61,10000256237.4559,10000256217.4559,1,0,0,False,0,0
62,10000256217.4559,10000256197.4559,1,0,0,False,0,0
63,10000256197.4559,10000256197.4559,1,20,2,False,0,0
64,10000256197.4559,10000256177.4559,1,0,0,False,0,0
65,10000256177.4559,10000256157.4559,1,0,0,False,0,0
66,10000256157.4559,10000256137.4559,1,0,0,False,0,0
67,10000256137.4559,10000256117.4559,1,0,0,False,0,0
68,10000256117.4559,10000256097.4559,1,0,0,False,0,0
69,10000256097.4559,10000256077.4559,1,0,0,False,0,0
70,10000256077.4559,10000256067.4559,1,10,1,False,0,0
71,10000256067.4559,10000256047.4559,1,0,0,False,0,0
72,10000256047.4559,10000256027.4559,1,0,0,False,0,0
73,10000256027.4559,10000256007.4559,1,0,0,False,0,0
74,10000256007.4559,10000256017.4559,1,30,3,False,0,0
75,10000256017.4559,10000256017.4559,1,20,2,False,0,0
76,10000256017.4559,10000255997.4559,1,0,0,False,0,0
77,10000255997.4559,10000255977.4559,1,0,0,False,0,0
78,10000255977.4559,10000255957.4559,1,0,0,False,0,0
79,10000255957.4559,10000255937.4559,1,0,0,False,0,0
80,10000255937.4559,10000255917.4559,1,0,0,False,0,0
81,10000255917.4559,10000255897.4559,1,0,0,False,0,0
82,10000255897.4559,10000255907.4559,1,30,2,False,0,0
83,10000255907.4559,10000255917.4559,1,30,3,False,0,0
84,10000255917.4559,10000255897.4559,1,0,0,False,0,0
85,10000255897.4559,10000255887.4559,1,10,1,False,0,0
86,10000255887.4559,10000255882.4559,1,15,1,False,0,0
87,10000255882.4559,10000255872.4559,1,10,1,False,0,0
88,10000255872.4559,10000255877.4559,1,25,2,False,0,0
89,10000255877.4559,10000255857.4559,1,0,0,False,0,0
90,10000255857.4559,10000255837.4559,1,0,0,False,0,0
91,10000255837.4559,10000255817.4559,1,0,0,False,0,0
92,10000255817.4559,10000255797.4559,1,0,0,False,0,0
93,10000255797.4559,10000255777.4559,1,0,0,False,0,0
94,10000255777.4559,10000255757.4559,1,0,0,False,0,0
95,10000255757.4559,10000255757.4559,1,20,2,False,0,0
96,10000255757.4559,10000255737.4559,1,0,0,False,0,0
97,10000255737.4559,10000255727.4559,1,10,1,False,0,0
98,10000255727.4559,10000255707.4559,1,0,0,False,5,0
99,10000255707.4559,10000255707.4559,1,0,0,False,5,0
100,10000255707.4559,10000255737.4559,1,30,3,False,5,0
